700 1815
449 183 75
142 183 188
177 183 151
530 183 216
363 183 237
486 183 114
327 183 160
26 183 322
72 183 402
324 183 589
562 183 347
168 183 291
415 183 459
526 183 328
456 183 328
596 183 303
362 183 762
29 183 507
91 183 519
119 183 362
90 183 570
437 183 386
56 183 358
270 183 413
436 183 346
467 183 286
213 183 211
267 183 373
398 183 242
640 183 171
602 183 276
680 183 352
126 183 347
223 183 447
122 183 494
186 183 279
282 183 344
311 183 275
470 183 309
183 449 75
26 449 382
72 449 477
324 449 589
562 449 422
168 449 365
415 449 534
526 449 403
456 449 403
596 449 378
362 449 762
29 449 544
91 449 541
119 449 420
90 449 571
437 449 389
56 449 358
270 449 396
436 449 327
467 449 287
213 449 172
267 449 381
398 449 197
640 449 115
602 449 212
680 449 308
126 449 395
223 449 495
122 449 550
186 449 216
282 449 268
311 449 206
470 449 247
183 142 188
26 142 286
72 142 253
324 142 430
381 142 379
393 142 427
662 142 409
562 142 192
168 142 167
415 142 293
526 142 144
456 142 255
596 142 161
362 142 575
384 142 423
29 142 369
91 142 433
119 142 188
373 142 344
215 142 221
429 142 253
90 142 536
437 142 381
56 142 363
270 142 447
436 142 391
467 142 304
213 142 318
267 142 354
398 142 352
602 142 417
680 142 443
126 142 340
223 142 417
122 142 441
186 142 466
282 142 516
311 142 463
470 142 494
183 177 151
26 177 337
72 177 318
324 177 495
381 177 445
393 177 483
662 177 475
562 177 258
168 177 229
415 177 358
526 177 204
456 177 204
596 177 226
362 177 575
384 177 476
29 177 368
91 177 410
119 177 211
373 177 365
215 177 261
90 177 500
437 177 327
56 177 307
270 177 384
436 177 326
467 177 242
213 177 252
267 177 305
398 177 287
640 177 254
602 177 353
680 177 378
126 177 385
223 177 470
122 177 496
186 177 429
282 177 459
311 177 421
470 177 460
183 530 216
26 530 337
72 530 250
324 530 495
381 530 445
393 530 483
662 530 475
562 530 190
168 530 177
415 530 282
526 530 127
456 530 248
596 530 166
362 530 575
384 530 476
29 530 368
91 530 410
119 530 155
373 530 365
215 530 191
429 530 226
90 530 500
437 530 327
56 530 307
270 530 384
436 530 326
467 530 242
213 530 252
267 530 305
398 530 287
640 530 287
602 530 353
680 530 378
126 530 385
223 530 470
122 530 496
186 530 429
282 530 459
311 530 421
470 530 460
183 363 237
26 363 288
72 363 218
324 363 386
492 363 386
381 363 344
393 363 378
662 363 374
562 363 158
168 363 151
415 363 250
526 363 96
456 363 215
596 363 136
362 363 525
384 363 373
29 363 343
91 363 423
119 363 152
373 363 306
215 363 175
429 363 204
90 363 532
437 363 389
56 363 378
213 363 360
267 363 360
398 363 395
602 363 462
680 363 483
126 363 344
223 363 416
122 363 434
186 363 515
282 363 565
311 363 513
470 363 543
183 486 114
26 486 239
72 486 288
324 486 475
381 486 409
393 486 502
662 486 438
562 486 232
168 486 177
415 486 344
526 486 225
456 486 225
596 486 189
362 486 575
384 486 506
29 486 469
91 486 520
119 486 291
373 486 447
215 486 321
90 486 536
437 486 422
56 486 399
213 486 303
267 486 403
398 486 337
640 486 278
602 486 384
680 486 440
126 486 279
223 486 372
122 486 410
186 486 377
282 486 458
311 486 380
470 486 403
183 327 160
26 327 172
72 327 259
324 327 445
381 327 371
393 327 490
662 327 399
562 327 210
168 327 142
415 327 321
526 327 226
456 327 276
596 327 164
362 327 642
29 327 515
91 327 578
119 327 327
90 327 668
437 327 489
56 327 466
213 327 364
267 327 470
398 327 397
602 327 437
680 327 503
126 327 212
223 327 305
122 327 344
611 327 392
621 327 345
229 327 446
186 327 390
282 327 498
311 327 402
470 327 411
183 26 322
72 26 227
324 26 380
492 26 380
381 26 289
393 26 469
662 26 310
562 26 213
168 26 153
415 26 294
526 26 281
456 26 255
596 26 184
362 26 614
29 26 622
91 26 711
119 26 426
90 26 819
56 26 638
213 26 531
267 26 641
398 26 564
126 26 60
223 26 133
269 26 137
122 26 172
611 26 226
621 26 203
229 26 274
186 26 468
282 26 624
311 26 494
470 26 479
183 72 402
26 72 227
667 72 45
324 72 187
492 72 268
381 72 126
393 72 246
662 72 156
562 72 60
168 72 116
415 72 68
526 72 138
456 72 30
596 72 99
362 72 395
384 72 266
29 72 468
91 72 586
119 72 282
373 72 389
215 72 236
429 72 204
90 72 715
437 72 587
56 72 581
213 72 569
267 72 557
398 72 604
126 72 283
223 72 308
122 72 294
611 72 299
621 72 196
229 72 373
186 72 645
282 72 746
311 72 660
470 72 664
183 667 402
26 667 227
72 667 45
324 667 187
492 667 268
381 667 98
393 667 246
662 667 127
562 667 98
168 667 133
415 667 91
526 667 138
456 667 70
596 667 126
362 667 395
384 667 266
29 667 468
91 667 586
119 667 282
373 667 389
215 667 236
429 667 204
90 667 715
437 667 587
56 667 581
213 667 569
267 667 557
398 667 604
126 667 283
223 667 308
122 667 294
611 667 299
621 667 196
229 667 373
186 667 645
282 667 746
311 667 660
470 667 664
183 324 589
26 324 380
72 324 187
492 324 97
381 324 95
393 324 141
662 324 90
562 324 243
168 324 302
415 324 136
526 324 291
456 324 176
596 324 286
362 324 252
384 324 183
29 324 548
91 324 690
119 324 394
90 324 828
56 324 719
213 324 747
267 324 690
398 324 782
126 324 427
122 324 377
611 324 345
621 324 245
229 324 412
186 324 827
183 492 589
26 492 380
72 492 268
324 492 97
381 492 192
393 492 100
662 492 186
562 492 243
168 492 302
415 492 206
526 492 291
456 492 251
596 492 286
362 492 159
384 492 141
29 492 548
91 492 690
119 492 394
90 492 828
56 492 719
213 492 747
267 492 690
398 492 782
126 492 427
122 492 377
611 492 345
621 492 245
229 492 412
186 492 827
183 381 523
26 381 289
72 381 126
324 381 95
492 381 192
393 381 217
662 381 30
562 381 187
168 381 232
415 381 112
526 381 258
456 381 131
596 381 222
362 381 345
384 381 253
29 381 564
91 381 690
119 381 388
90 381 828
56 381 719
213 381 747
267 381 690
398 381 782
126 381 334
223 381 320
122 381 283
611 381 258
621 381 152
229 381 330
186 381 827
183 393 589
26 393 469
72 393 246
324 393 141
492 393 100
381 393 217
662 393 223
562 393 281
168 393 353
415 393 177
526 393 284
456 393 220
596 393 326
362 393 152
384 393 43
29 393 443
91 393 690
119 393 334
90 393 828
56 393 719
213 393 747
267 393 690
398 393 782
126 393 522
122 393 496
186 393 827
183 662 552
26 662 310
72 662 156
324 662 90
492 662 186
381 662 30
393 662 223
562 662 217
168 662 261
415 662 139
526 662 288
456 662 161
596 662 252
362 662 343
384 662 262
29 662 548
91 662 690
119 662 415
90 662 828
56 662 719
213 662 747
267 662 690
398 662 782
126 662 353
223 662 332
122 662 288
611 662 255
621 662 155
229 662 323
186 662 827
183 562 347
26 562 213
72 562 60
324 562 243
492 562 243
381 562 187
393 562 281
662 562 217
635 562 61
168 562 72
415 562 111
526 562 88
456 562 67
596 562 45
362 562 433
384 562 293
29 562 431
91 562 542
119 562 239
373 562 363
215 562 207
429 562 188
90 562 666
437 562 535
56 562 527
213 562 509
267 562 505
398 562 544
126 562 273
223 562 316
122 562 315
611 562 330
621 562 237
229 562 402
186 562 600
282 562 691
311 562 609
470 562 620
183 635 347
26 635 213
72 635 86
324 635 243
492 635 243
381 635 187
393 635 281
662 635 217
562 635 61
168 635 129
415 635 94
526 635 61
456 635 68
596 635 98
362 635 433
384 635 293
29 635 431
91 635 542
119 635 239
373 635 363
215 635 207
429 635 127
90 635 666
437 635 535
56 635 527
213 635 509
267 635 505
398 635 544
126 635 273
223 635 316
122 635 315
611 635 330
621 635 237
229 635 402
186 635 600
282 635 691
311 635 609
470 635 620
183 168 291
26 168 153
72 168 116
324 168 302
492 168 302
381 168 232
393 168 353
662 168 261
562 168 72
415 168 179
526 168 127
456 168 134
596 168 31
362 168 504
384 168 366
29 168 469
91 168 568
119 168 273
373 168 409
215 168 257
90 168 666
437 168 540
56 168 528
213 168 471
267 168 511
398 168 506
126 168 213
223 168 271
122 168 284
611 168 312
621 168 237
229 168 380
186 168 530
282 168 691
311 168 544
470 168 550
183 415 459
26 415 294
72 415 68
324 415 136
492 415 206
381 415 112
393 415 177
662 415 139
562 415 111
168 415 179
521 415 50
526 415 156
456 415 45
596 415 157
362 415 327
384 415 198
29 415 453
91 415 542
119 415 276
373 415 359
215 415 217
429 415 170
90 415 666
437 415 535
56 415 527
213 415 509
267 415 566
398 415 544
126 415 350
223 415 364
122 415 343
611 415 337
621 415 230
229 415 412
186 415 600
282 415 691
311 415 609
470 415 620
183 521 459
26 521 294
72 521 117
324 521 96
492 521 206
381 521 108
393 521 131
662 521 127
562 521 111
168 521 179
415 521 50
526 521 156
456 521 95
596 521 157
362 521 327
384 521 198
29 521 453
91 521 542
119 521 276
373 521 359
215 521 217
429 521 170
90 521 666
437 521 535
56 521 527
213 521 509
267 521 566
398 521 544
126 521 350
223 521 364
122 521 343
611 521 337
621 521 230
229 521 412
186 521 600
282 521 691
311 521 609
470 521 620
183 526 328
26 526 281
72 526 138
324 526 291
492 526 291
381 526 258
393 526 284
662 526 288
562 526 88
168 526 127
415 526 156
456 526 127
596 526 98
362 526 434
384 526 284
29 526 344
91 526 454
119 526 151
373 526 282
215 526 129
429 526 131
90 526 666
437 526 449
56 526 444
213 526 456
267 526 419
398 526 490
126 526 341
223 526 396
122 526 401
611 526 419
621 526 326
229 526 489
186 526 600
282 526 691
311 526 609
470 526 620
183 456 328
26 456 255
72 456 30
324 456 176
492 456 251
381 456 131
393 456 220
662 456 161
562 456 67
168 456 134
415 456 45
526 456 127
596 456 112
362 456 434
384 456 238
29 456 344
91 456 454
119 456 263
373 456 282
215 456 213
429 456 176
90 456 666
437 456 449
56 456 444
213 456 456
267 456 419
398 456 490
126 456 341
223 456 396
122 456 401
611 456 419
621 456 220
229 456 489
186 456 600
282 456 691
311 456 609
470 456 620
183 596 303
26 596 184
72 596 99
324 596 286
492 596 286
381 596 222
393 596 326
662 596 252
562 596 45
168 596 31
415 596 157
526 596 98
456 596 112
362 596 478
384 596 337
29 596 441
91 596 544
119 596 246
373 596 380
215 596 227
429 596 220
90 596 666
437 596 524
56 596 514
213 596 473
267 596 495
398 596 508
126 596 244
223 596 298
122 596 306
611 596 330
621 596 247
229 596 399
186 596 554
282 596 691
311 596 564
470 596 620
183 362 762
26 362 614
72 362 395
324 362 252
492 362 159
381 362 345
393 362 152
662 362 343
562 362 433
168 362 504
415 362 327
526 362 434
456 362 434
596 362 478
384 362 152
29 362 516
91 362 671
119 362 461
90 362 823
56 362 776
213 362 860
267 362 739
398 362 893
126 362 665
186 362 1028
183 384 611
26 384 493
72 384 266
324 384 183
492 384 141
381 384 253
393 384 43
662 384 262
562 384 293
168 384 366
415 384 198
526 384 284
456 384 238
596 384 337
362 384 152
29 384 409
91 384 560
119 384 314
90 384 710
437 384 635
56 384 639
213 384 710
267 384 605
398 384 742
126 384 548
122 384 528
186 384 882
183 29 507
26 29 622
72 29 468
324 29 548
381 29 564
393 29 443
662 29 548
562 29 431
168 29 469
415 29 453
526 29 344
456 29 344
596 29 441
362 29 516
384 29 409
91 29 154
119 29 195
373 29 117
215 29 236
429 29 285
90 29 306
437 29 284
56 29 302
270 29 377
436 29 387
467 29 326
